Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01K8VSEFZ6BHEJ7T2XFZRZ322M,hat-1,Hat_12a,published,https://picsum.photos/seed/TMqWj/3117/2094,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2H5FAFVHJGVR25QZVJ
prod_01K8VSEFZ6BHEJ7T2XFZRZ322M,hat-1,Hat_12a,published,https://picsum.photos/seed/TMqWj/3117/2094,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2HR3HZ1BW0ARW4H2RW
prod_01K8VSEFZ6BHEJ7T2XFZRZ322M,hat-1,Hat_12a,published,https://picsum.photos/seed/TMqWj/3117/2094,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2HS5V137DQV2GGEACQ
prod_01K8VSEFZ6BPE87M79C894V8BM,soap-4a,Soap_4a,published,https://picsum.photos/seed/H8UqbaKQDf/2228/3884,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2JKTAA40QCS1VNKMH8
prod_01K8VSEFZ6BPE87M79C894V8BM,soap-4a,Soap_4a,published,https://picsum.photos/seed/H8UqbaKQDf/2228/3884,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2JMEXZTXE9F68Y1G7Q
prod_01K8VSEFZ6BPE87M79C894V8BM,soap-4a,Soap_4a,published,https://picsum.photos/seed/H8UqbaKQDf/2228/3884,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2JMAE7AVTYJ54MK73J
prod_01K8VSEFZ6GWRFPVVVBYACV3Y7,sausages-2,Sausages_2,published,https://picsum.photos/seed/9ml2UR/442/1058,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2HRH8RJATMBY5QW3JG
prod_01K8VSEFZ6GWRFPVVVBYACV3Y7,sausages-2,Sausages_2,published,https://picsum.photos/seed/9ml2UR/442/1058,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2HJCA9T75Y5GX11TEC
prod_01K8VSEFZ6GWRFPVVVBYACV3Y7,sausages-2,Sausages_2,published,https://picsum.photos/seed/9ml2UR/442/1058,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2H9HGKWAYVHG2QGYCW
prod_01K8VSEFZ6J2DGX4C470HXKTRY,computer-0,Computer_0,published,https://picsum.photos/seed/NszJHUt1c/2637/3550,sc_01K834MGRVR9MHA96M401KZXZV,variant_01K8VSEG2G2BMJT8TVCQAD4CP2
